epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2654.05,0.53788,0.62147,1.08998,0.88043,0.86584,0.91363,0.83153,0.42923,0.55491,0.80497,0.0005941,0.0005941,0.0005941
43,2716.59,0.53911,0.62442,1.08572,0.87293,0.86931,0.92486,0.83893,0.45786,0.57018,0.8208,0.0005842,0.0005842,0.0005842
44,2782.54,0.5347,0.61566,1.08311,0.86619,0.86241,0.90739,0.83147,0.40658,0.55965,0.8459,0.0005743,0.0005743,0.0005743
45,2844.29,0.52291,0.58922,1.07956,0.86743,0.89014,0.93245,0.85566,0.42715,0.52761,0.82228,0.0005644,0.0005644,0.0005644
46,2906.45,0.52241,0.58743,1.08103,0.89314,0.84371,0.92397,0.83693,0.412,0.53383,0.83007,0.0005545,0.0005545,0.0005545
47,2969.14,0.52134,0.59427,1.07862,0.86963,0.89182,0.93136,0.84236,0.41695,0.5561,0.8398,0.0005446,0.0005446,0.0005446
48,3030.71,0.51178,0.56857,1.07124,0.8818,0.84374,0.91819,0.83486,0.40387,0.54273,0.7928,0.0005347,0.0005347,0.0005347
49,3092.65,0.51798,0.57467,1.07164,0.88299,0.86232,0.93235,0.84864,0.41414,0.53299,0.80957,0.0005248,0.0005248,0.0005248
50,3154.44,0.5148,0.5739,1.07831,0.88497,0.8474,0.91819,0.83815,0.40643,0.53491,0.79432,0.0005149,0.0005149,0.0005149
51,3214.64,0.51599,0.57054,1.0748,0.87297,0.83913,0.91406,0.8432,0.39127,0.56285,0.81768,0.000505,0.000505,0.000505
52,3275.93,0.50557,0.55202,1.07267,0.8979,0.86016,0.92256,0.84533,0.39086,0.52824,0.79345,0.0004951,0.0004951,0.0004951
53,3337.71,0.50913,0.54594,1.07007,0.83365,0.89766,0.92041,0.84598,0.4035,0.52703,0.8025,0.0004852,0.0004852,0.0004852
54,3399.11,0.50734,0.54412,1.06991,0.85869,0.90643,0.93303,0.85939,0.38897,0.47996,0.79051,0.0004753,0.0004753,0.0004753
55,3466.49,0.49838,0.52778,1.06065,0.84851,0.89204,0.92802,0.85387,0.38221,0.49424,0.81221,0.0004654,0.0004654,0.0004654
56,3527.05,0.49061,0.51683,1.06152,0.88583,0.85661,0.93292,0.86123,0.40339,0.52825,0.81218,0.0004555,0.0004555,0.0004555
57,3588.45,0.49462,0.51761,1.06258,0.86044,0.87738,0.90019,0.82308,0.40605,0.53148,0.8017,0.0004456,0.0004456,0.0004456
58,3650.3,0.49591,0.50565,1.06249,0.90738,0.85917,0.93278,0.83679,0.39184,0.56886,0.77049,0.0004357,0.0004357,0.0004357
59,3712.09,0.48833,0.50346,1.05975,0.89142,0.89173,0.94655,0.86496,0.38889,0.56431,0.78553,0.0004258,0.0004258,0.0004258
60,3779.8,0.48834,0.50573,1.06473,0.89598,0.87247,0.94198,0.8627,0.3657,0.55393,0.75465,0.0004159,0.0004159,0.0004159
61,3841.87,0.48841,0.50347,1.0598,0.89175,0.8733,0.92714,0.85312,0.3766,0.51392,0.79111,0.000406,0.000406,0.000406
62,3904.18,0.48316,0.48433,1.05638,0.91008,0.90262,0.94342,0.86506,0.39948,0.50419,0.79909,0.0003961,0.0003961,0.0003961
63,3966.27,0.47894,0.48476,1.05621,0.8688,0.9047,0.92869,0.84923,0.3948,0.50505,0.80065,0.0003862,0.0003862,0.0003862
64,4028.88,0.47363,0.48237,1.05253,0.89226,0.8818,0.92953,0.85753,0.38402,0.51533,0.79174,0.0003763,0.0003763,0.0003763
65,4091.34,0.47953,0.47897,1.05655,0.8373,0.89639,0.92019,0.82557,0.40722,0.55759,0.79355,0.0003664,0.0003664,0.0003664
66,4153.58,0.47636,0.46619,1.05263,0.85837,0.91354,0.9298,0.84965,0.39104,0.54438,0.78155,0.0003565,0.0003565,0.0003565
67,4215.51,0.46618,0.47408,1.0481,0.90427,0.88353,0.93508,0.85168,0.38776,0.51606,0.79374,0.0003466,0.0003466,0.0003466
68,4277.23,0.46637,0.46074,1.05082,0.87775,0.88116,0.93194,0.85215,0.4006,0.55508,0.78559,0.0003367,0.0003367,0.0003367
69,4339.07,0.46612,0.45233,1.05194,0.91433,0.88928,0.94056,0.8654,0.38859,0.4998,0.78855,0.0003268,0.0003268,0.0003268
70,4398.82,0.46574,0.45678,1.05004,0.89109,0.89619,0.93917,0.86412,0.38358,0.5068,0.79107,0.0003169,0.0003169,0.0003169
71,4458.99,0.46187,0.44852,1.04681,0.91293,0.88435,0.94175,0.86566,0.38811,0.51687,0.7926,0.000307,0.000307,0.000307
72,4519.44,0.46108,0.44614,1.04708,0.89147,0.91065,0.95083,0.87531,0.38964,0.5114,0.79512,0.0002971,0.0002971,0.0002971
73,4586.56,0.4548,0.43663,1.03913,0.89921,0.89616,0.94305,0.87298,0.37244,0.49079,0.79662,0.0002872,0.0002872,0.0002872
74,4646.45,0.46289,0.43539,1.04768,0.89392,0.86249,0.92665,0.85446,0.38493,0.53771,0.80039,0.0002773,0.0002773,0.0002773
75,4706.66,0.4481,0.42448,1.03577,0.86881,0.91363,0.93598,0.86719,0.39705,0.53942,0.80032,0.0002674,0.0002674,0.0002674
76,4768.48,0.45068,0.41901,1.04189,0.88101,0.90618,0.95141,0.8783,0.39163,0.50089,0.79714,0.0002575,0.0002575,0.0002575
77,4837.48,0.44908,0.41407,1.03664,0.91848,0.89652,0.94497,0.87461,0.37937,0.48727,0.80475,0.0002476,0.0002476,0.0002476
78,4900.1,0.44704,0.41192,1.03932,0.87738,0.92272,0.94733,0.87589,0.38393,0.48263,0.80357,0.0002377,0.0002377,0.0002377
79,4962.74,0.44721,0.40691,1.04105,0.90869,0.89382,0.93827,0.86562,0.37822,0.48545,0.80554,0.0002278,0.0002278,0.0002278
80,5024.69,0.44235,0.41287,1.03676,0.91774,0.88622,0.94482,0.87282,0.36872,0.49238,0.80181,0.0002179,0.0002179,0.0002179
81,5086.93,0.43842,0.41896,1.03434,0.90612,0.88665,0.94034,0.8696,0.37059,0.47493,0.81257,0.000208,0.000208,0.000208
82,5148.85,0.43709,0.40233,1.03488,0.88179,0.89697,0.93797,0.87357,0.37288,0.4508,0.81957,0.0001981,0.0001981,0.0001981
83,5210.31,0.44005,0.39756,1.03825,0.88338,0.91939,0.93722,0.86412,0.37024,0.48387,0.79948,0.0001882,0.0001882,0.0001882
84,5272.18,0.43383,0.39376,1.03217,0.88405,0.91239,0.93609,0.87042,0.3779,0.4765,0.80919,0.0001783,0.0001783,0.0001783
85,5334.24,0.42918,0.39195,1.02956,0.92697,0.86654,0.93323,0.86396,0.37454,0.46463,0.81299,0.0001684,0.0001684,0.0001684
86,5396.79,0.42509,0.38167,1.02642,0.88742,0.8986,0.93057,0.85827,0.38043,0.49945,0.80348,0.0001585,0.0001585,0.0001585
87,5459.12,0.42316,0.37741,1.02937,0.88751,0.88429,0.92958,0.8529,0.38299,0.52689,0.80586,0.0001486,0.0001486,0.0001486
88,5521.58,0.42135,0.37772,1.02859,0.91441,0.86574,0.93677,0.85845,0.37868,0.50371,0.80216,0.0001387,0.0001387,0.0001387
89,5584.24,0.42215,0.38308,1.02972,0.86912,0.92116,0.94345,0.86512,0.38017,0.4907,0.80853,0.0001288,0.0001288,0.0001288
90,5646.61,0.41308,0.3613,1.02317,0.90311,0.90414,0.94479,0.86984,0.37959,0.48661,0.80012,0.0001189,0.0001189,0.0001189
91,5708.48,0.33656,0.24132,0.9915,0.91311,0.88608,0.94205,0.86688,0.38512,0.5037,0.80905,0.000109,0.000109,0.000109
92,5768.96,0.3237,0.22169,0.9765,0.91483,0.87321,0.93753,0.86652,0.38708,0.50217,0.81407,9.91e-05,9.91e-05,9.91e-05
93,5830.55,0.31716,0.20924,0.96986,0.90951,0.88961,0.94551,0.87302,0.37745,0.49025,0.79822,8.92e-05,8.92e-05,8.92e-05
94,5892.7,0.30828,0.2041,0.96245,0.92607,0.88402,0.95284,0.87514,0.37342,0.4938,0.78691,7.93e-05,7.93e-05,7.93e-05
95,5954.46,0.31023,0.19805,0.96242,0.90373,0.90388,0.95288,0.87827,0.37078,0.51076,0.7813,6.94e-05,6.94e-05,6.94e-05
96,6023.36,0.30258,0.19218,0.96022,0.91873,0.8815,0.95179,0.8766,0.36778,0.50154,0.78333,5.95e-05,5.95e-05,5.95e-05
97,6084.85,0.3001,0.19112,0.95717,0.89493,0.89811,0.95232,0.87407,0.36999,0.50414,0.78401,4.96e-05,4.96e-05,4.96e-05
98,6147.7,0.29468,0.17997,0.94967,0.90665,0.89557,0.95073,0.8746,0.36752,0.48875,0.78458,3.97e-05,3.97e-05,3.97e-05
99,6209.16,0.29267,0.17509,0.95512,0.9126,0.88295,0.94822,0.87326,0.36526,0.50037,0.78129,2.98e-05,2.98e-05,2.98e-05
100,6271.55,0.29312,0.17549,0.95199,0.92258,0.87841,0.94838,0.87409,0.36226,0.48537,0.78172,1.99e-05,1.99e-05,1.99e-05
