epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1272.12,0.52276,0.63347,1.04591,0.85075,0.79819,0.88099,0.8266,0.32426,0.52837,0.68192,0.0005941,0.0005941,0.0005941
43,1426.53,0.51662,0.62191,1.05003,0.83055,0.82918,0.89035,0.84014,0.32854,0.52657,0.68894,0.0005842,0.0005842,0.0005842
44,1582.01,0.51069,0.62026,1.04201,0.81847,0.83187,0.90057,0.85357,0.33685,0.55981,0.69161,0.0005743,0.0005743,0.0005743
45,1737.82,0.50985,0.61573,1.03875,0.831,0.83793,0.89796,0.84747,0.32323,0.49828,0.67691,0.0005644,0.0005644,0.0005644
46,1889.95,0.50718,0.60842,1.04174,0.87613,0.83107,0.91567,0.86263,0.32124,0.48611,0.67639,0.0005545,0.0005545,0.0005545
47,2044.94,0.50516,0.58177,1.03962,0.88527,0.83228,0.91914,0.86669,0.32212,0.47,0.68154,0.0005446,0.0005446,0.0005446
48,2198.52,0.50102,0.57711,1.03554,0.85909,0.82897,0.90529,0.86159,0.31979,0.51375,0.67966,0.0005347,0.0005347,0.0005347
49,2353.22,0.49853,0.5783,1.03394,0.86115,0.86905,0.92722,0.87597,0.31507,0.46278,0.66931,0.0005248,0.0005248,0.0005248
50,2509.46,0.49074,0.57354,1.03377,0.84373,0.88661,0.92691,0.87746,0.31739,0.44485,0.67151,0.0005149,0.0005149,0.0005149
51,2662.69,0.48485,0.54464,1.02574,0.84703,0.87734,0.91073,0.86091,0.32412,0.4669,0.67887,0.000505,0.000505,0.000505
52,2810.97,0.49014,0.54262,1.03118,0.84097,0.89524,0.91953,0.8713,0.32447,0.45119,0.68759,0.0004951,0.0004951,0.0004951
53,2965.02,0.47927,0.5402,1.02742,0.87314,0.86702,0.92505,0.87541,0.32558,0.46357,0.68364,0.0004852,0.0004852,0.0004852
54,3127.78,0.48502,0.5376,1.02665,0.87906,0.85483,0.93216,0.87882,0.31965,0.43884,0.67769,0.0004753,0.0004753,0.0004753
55,3284.65,0.47981,0.52481,1.02738,0.87765,0.86115,0.92764,0.88345,0.31665,0.45294,0.66902,0.0004654,0.0004654,0.0004654
56,3434.29,0.48583,0.535,1.0301,0.8309,0.85464,0.89896,0.8541,0.32133,0.50501,0.67854,0.0004555,0.0004555,0.0004555
